ID;Title;Layer;Facade;Function;Description;Feature Category;Tech Category;Status;Comments;Actor;Component;Trigger;Precondition;Result;Priority;Complexity;Size;CREATED_AT;CHANGED_AT;Link auf Testcode;published;Link auf Demo;Require
RT5;Create QRCode for own Relationship Template;Transport;RelationshipTemplatesFacade;createQrCodeForOwnTemplate;;Consent required before any data is shared;RelationshipTemplates;QUESTIONS;QR vs Qr, QR vs Tr;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RT6;Create Token QRCode for own Relationship Template;Transport;RelationshipTemplatesFacade;createTokenQrCodeForOwnTemplate;;Consent required before any data is shared;RelationshipTemplates;QUESTIONS;QR vs Qr, QR vs Tr;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RT7;Create Token for own Relationship Template;Transport;RelationshipTemplatesFacade;createTokenForOwnTemplate;Creates a `Token` for the own `RelationshipTemplate` with the given `id`;Consent required before any data is shared;RelationshipTemplates;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU1;Get currently used Identity;Transport;AccountFacade;getIdentityInfo;;Multi-profile;Account;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU2;Get currently used Device;Transport;AccountFacade;getDeviceInfo;;Multi-device;Account;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU3;Register PushNotificationToken at Backbone;Transport;AccountFacade;registerPushNotificationToken;;Multi-device;Account;QUESTIONS;rather AppRuntime?;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU4;Synchronize updates of Backbone;Transport;AccountFacade;syncEverything;Syncs the Identity's Messages and Relationships with the Backbone. Checks for new Relationships as well as incoming changes of existing ones. Checks for new or updated Messages. Returns all affected Relationships and Messages.;Synchronization;Account;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU5;Synchronize Datawallet updates to Backbone;Transport;AccountFacade;syncDatawallet;;Multi-device synchronization;Account;QUESTIONS;rather AppRuntime?;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU6;Get synchronization status with Backbone;Transport;AccountFacade;getSyncInfo;;Multi-device synchronization;Account;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU7;Enable automated Datawallet synchronization with Backbone;Transport;AccountFacade;enableAutoSync;;Multi-device synchronization;Account;QUESTIONS;rather AppRuntime?;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU8;Disable automated Datawallet synchronization with Backbone;Transport;AccountFacade;disableAutoSync;;Multi-device synchronization;Account;QUESTIONS;rather AppRuntime?;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RU9;Load item from truncated reference;Transport;AccountFacade;loadItemFromTruncatedReference;;Share information over side-channel;Account;QUESTIONS;rather somewhere else?;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RY1;Load Token by truncated reference (without having an account);Anonymous;AnonymousFacade;loadPeerTokenByTruncatedReference;;Share information over side-channel;AnonymousTokens;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
RY2;Load Token by id and key (without having an account);Anonymous;AnonymousFacade;loadPeerTokenByIdAndKey;;Share information over side-channel;AnonymousTokens;DONE;;Identity;Runtime;;;;n/a;n/a;n/a;;;;default;;
